n_id,n_name,n_addr,Latitude,Longitude,n_type
67,"Chandrajyoti Hospital
","Chandrajyoti Hospital, Old Vikram Apartments, L. B. S Marg, Mukand Society Rd, New Shyam Nagar, Maneklal Estate, Ghatkopar West, Mumbai, Maharashtra 400086
",19.0885214,72.9023991,Hospital
68,"Pancholi Hospital","Pancholi Hospital, 90 Feet Rd, Sudarshan Society, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400071
",19.0741508,72.9058027,Hospital
69,"Satyam Hospital","Satyam Hospital, 2nd Floor, C Wing, Bhaveshwar Plaza, Lal Bahadur Shastri Marg, opp. Shreyas Cinema Road, Nityanand Nagar, Ghatkopar West, Mumbai, Maharashtra 400086
",19.0927138,72.9123441,Hospital
70,"Samadhan Health Care Centre
","Samadhan Health Care Centre, 3rd floor 301, Alpana Apartment, Next To Doshiwadi, L.B.S Road, Ghatkopar West, Mumbai, Maharashtra 400086
",19.0908063,72.9076669,Hospital
71,"Jeevdaya Hospital
","Jeevdaya Hospital, 1st Floor, B Wing, Dharmodaya Building, Jivdaya Ln, Ghatkopar West, Mumbai, Maharashtra 400086
",19.0978481,72.9029941,Hospital
72,"Medico Surgical Clinic & Hospital
","Medico Surgical Clinic & Hospital, Wing A, Lal Bahadur Shastri Marg, Bhatwadi, Kapol wadi, Doshi Wadi, Mumbai, Maharashtra 400086
",19.0883185,72.9069383,Hospital
73,"Care Multispeciality Hospital","Care Multispeciality Hospital, ground floor, New taj apartment, Chirag Nagar, Ghatkopar West, Mumbai, Maharashtra 400086
",19.0872487,72.8990215,Hospital
74,"Jeevandeep Childern Hospital
","Jeevandeep Childern Hospital, 1st Floor, Chandrodaya Building, Corner, Lal Bahadur Shastri Marg, Ghatkopar, Jivdaya Lane, W, Mumbai, Maharashtra 400086",19.0881255,72.9052541,Hospital
75,"Vatsal Nicu And Children's Hospital","Vatsal Nicu And Children's Hospital, Station Road, Hingwala Ln, Saibaba Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077
",19.082372,72.9092392,Hospital
76,"Navjivan Hospital. M G Road. Ghatkopar East
","Navjivan Hospital. M G Road. Ghatkopar East, 3WJ3+QQ7, near RAMJI ASSAR SCHOOL, Rajawadi Colony, Ghatkopar East, Mumbai, Maharashtra 400075
",19.0819036,72.9044067,Hospital
77,"Dr. Bhaskar Patel's Hospital","Dr. Bhaskar Patel's Hospital, 3WG3+Q3W, Rd Number 7, Vidya Vihar East, Vidyavihar, Mumbai, Maharashtra 400077
",19.076975,72.902692,Hospital
78,"Navneet Hospital Ghatkopee","Navneet Hospital Ghatkopee,  3WV7+J9, E-48, Garden Ln, near HDFC Bank, Nityanand Nagar, Ghatkopar West, Mumbai, Maharashtra 400086
",19.0940888,72.9134572,Hospital
79,Swastik Health Care Centre,"Swastik Health Care Centre, 401, Swastik Esplanade Behind Alpana apartment, Lal Bahadur Shastri Marg, Ghatkopar West, Mumbai, Maharashtra 400086
",19.0881296,72.9066748,Hospital
80,"Navjeevan Hospital Ghatkopar (East)","Navjeevan Hospital Ghatkopar (East), asher school, M G Road, Main Road, near Ramji Ashar Lane, Ghatkopar East, Mumbai, Maharashtra 400077
",19.0785988,72.9101456,Hospital
81,Ramabai Thackrey Hospital,"Ramabai Thackrey Hospital, 3WH5+J6C, Ghatkopar, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra 400077
",19.0790502,72.9080095,Hospital
82,"Adarsh hospital
","Adarsh hospital, Amrut Nagar Rd, Ghatkopar, Kapol wadi, Ghatkopar West, Mumbai, Maharashtra 400060
",19.1016295,72.912073,Hospital
83,"Tara Neo-Surg. Hospital
","Tara Neo-Surg. Hospital, C-5, Satyam Shopping Centre, Mahatma Gandhi Road, Ghatkopar (E), Ghatkopar East, Mumbai, Maharashtra 400077",19.0756919,72.9029647,Hospital
84,"Seth V.C Gandhi & M.A. Vora Municipal General Hospital","Seth V.C Gandhi & M.A. Vora Municipal General Hospital, 3, 7th Rd, near Rajawadi Sub Post Office, Chittranjan Nagar, Rajawadi Colony, Ghatkopar East, Mumbai, Maharashtra 400077
",19.0793049,72.9016939,Hospital
85,"Ghatkopar Metro Station","Ghatkopar Metro Station, Shraddhanand Road-Hirachand Desai Road Ghatkopar (W Near Ghatkopar Railway Station, Mumbai, Maharashtra 400086
",19.0867792,72.9080649,Metro Station
86,"Ghatkopar Metro Station (East side)
","Ghatkopar Metro Station Bridge, 3WP5+785, Pedestrian Opas, Saibaba Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077
",19.0856302,72.9083469,Metro Station
87,"Jagruti Nagar Metro Station
","Jagruti Nagar, Andheri Ghatkopar Link Rd, near Maneklal Estate, Maneklal Estate, Ghatkopar (W, Mumbai, Maharashtra 400084
",19.0924711,72.9018642,Metro Station
88,"Jagruti metro station
","Jagruti metro station, 3WV2+2HR jagturi metro, Andheri - Ghatkopar Rd, Maneklal Estate, Ghatkopar West, Mumbai, Maharashtra 400086
",19.0926136,72.9013846,Metro Station
89,Asalpha Metro Station,"Asalpha, Andheri-Ghatkopar Link Road, Ghatkopar (W), Near Maheshwari Temple, Mumbai, Maharashtra 400084",19.0920487,72.911534,Metro Station
90,"Asalpha Metro","Asalpha Metro, 3VWV+MPX, Pereira Wadi, Asalpha, Mumbai, Maharashtra 400084
",19.0967428,72.8943664,Metro Station
91,Ghatkopar Railway Station,"Ghatkopar, 3WP5+7H, Jawahar Rd, Ghatkopar, Saibaba Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",19.0857262,72.9089968,Railway Station
92,"Vidyavihar Railway Station
","Vidyavihar, 3VHW+JW,  Vidyavihar station skywalk, ONGC Colony, Rajawadi Colony, Vidyavihar, Mumbai, Maharashtra 400086
",19.079425,72.8970105,Railway Station
93,Kurla Railway Station,"Kurla EMU Carshed, 3VFR+VF, Kurla, Mumbai, Maharashtra 400070
",19.07464,72.89122,Railway Station
94,Chembur Railway Station,"Chembur, 3W62+WM, Prakash Thorat Marg, Chembur West, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071",19.0623648,72.901708,Railway Station
